case_Model,MRP,cpu_Model,MRP,internal-hard-drive_Model,MRP,memory_Model,MRP,motherboard_Model,MRP,power-supply_Model,MRP,video-card_Model,MRP,Total Price
be quiet! Pure Base 500DX,162.12,Intel Core i7-14700K,1132.2,Kingston NV1,1973.61,Corsair Dominator Titanium 32 GB,2152.88,Gigabyte B450M DS3H WIFI,3026.71,G.Skill MB750G,138.91,Asus ProArt OC,49.81,8636.24
NZXT H510,635.71,AMD Ryzen 9 5900X,2277.23,SK Hynix Platinum P41,2212.22,TEAMGROUP Elite 16 GB,444.37,ASRock X670E Taichi,3490.83,Thermaltake Smart BX1,533.94,Zotac GAMING AMP Extreme AIRO,3705.47,13299.77
be quiet! Pure Base 500 FX,679.7,Intel Core i7-3930K,1530.35,Crucial P3,1166.93,G.Skill Trident Z Royal 128 GB,442.26,Gigabyte H510M S2H V3,3773.06,Corsair CX (2023),699.27,XFX Speedster MERC 308 Black,6064.98,14356.55
NZXT H9 Flow,339.4,Intel Core i5-7600K,3964.46,Western Digital Black SN850X w/Heatsink,1812.39,G.Skill Trident Z5 Neo 32 GB,1587.53,ASRock B550M Pro4,2371.49,MSI MAG A650GL,245.8,EVGA XC3 ULTRA GAMING,3647.12,13968.19
Fractal Design Pop XL Silent,875.5,Intel Core i5-10400,3139.45,Western Digital Red Plus,165.63,G.Skill Flare X5 32 GB,608.73,ASRock B650I Lightning Wifi,3432.09,EVGA 500 BR,629.44,MSI RTX 4090 GAMING SLIM 24G,3477.57,12328.41
Fractal Design Ridge PCIe 4.0,771.22,Intel Core i5-14600KF,1781.13,Toshiba MK3276GSX,2469.77,Corsair Vengeance LPX 128 GB,337.94,MSI PRO B650-S WIFI,3498.18,Thermaltake Toughpower GX3,618.02,ASRock Phantom Gaming OC,74.81,9551.07
MagniumGear NEO QUBE 2,447.75,AMD Athlon X4 845,3086.83,VisionTek QLC,206.59,Corsair Dominator Platinum RGB 32 GB,805.92,Asus PRIME B550-PLUS,2099.11,Thermaltake Toughpower GX3,31.5,Zotac GAMING Twin Edge OC,1923.78,8601.48
Corsair 6500X,388.09,Intel Core i7-10700,26.41,Seagate Surveillance HDD,446.77,Silicon Power XPOWER Turbine 32 GB,626.46,Gigabyte B550M K,3464.7,Asus TUF Gaming 750G,681.78,Gigabyte AERO OC,3864.8,9499.01
NZXT H9 Flow,176.26,Intel Core i3-10100,1692.86,KingSpec XG7000,256.75,Patriot Viper Steel 32 GB,1601.72,Gigabyte B760 DS3H AC DDR4,1133.07,Gigabyte UD1000GM PG5 (rev. 2.0),171.14,PNY RTX A-Series,6203.65,11235.45
GameMax Vista A,804.68,Intel Core i9-9900KF,3601.5,TEAMGROUP MP33 PRO,1464.73,G.Skill Trident Z5 Neo RGB 32 GB,408.85,Asus PRIME Z790-A WIFI,2324.36,Cooler Master V850 SFX GOLD,82.6,MSI D6 VENTUS XS OCV3,7165.79,15852.51
Montech SKY TWO,366.97,Intel Core i7-8700,4226.04,Western Digital Blue SN570,689.01,Corsair Vengeance RGB Pro 16 GB,3540.44,Asus ROG STRIX Z790-A GAMING WIFI II,1054.96,Athena Power AP-MTFX30,709.6,Gigabyte Vision OC,7636.56,18223.58
Corsair iCUE 4000D RGB AIRFLOW,475.31,Intel Core i5-9400F,1568.71,Crucial P3 Plus,650.82,G.Skill Ripjaws V 32 GB,981.49,ASRock B550M Pro4,3434.83,EVGA SuperNOVA 850 G5,135.01,Gigabyte WINDFORCE,5719.86,12966.03
Fractal Design Ridge PCIe 4.0,790.64,AMD Ryzen 9 7900X3D,1453.37,Seagate FireCuda,2400.46,Corsair Vengeance RGB Pro SL 32 GB,3617.1,Gigabyte B760M DS3H AX,764.95,Corsair RM750 (2019),124.58,Gigabyte Vision OC,4206.72,13357.82
Zalman S2,469.17,Intel Core i9-10920X,1153.1,KIOXIA EXCERIA PRO,443.2,Patriot Signature Line 8 GB,3342.73,Gigabyte X670E AORUS PRO X,2661.55,Raidmax XT,195.99,Gigabyte AERO OC,1018.63,9284.37
Lian Li O11D EVO RGB,290.32,Intel Core i5-7600K,995.33,Samsung PM893,1101.15,Corsair Dominator Titanium 64 GB,1916.28,ASRock Z790 Pro RS,191.63,Deepcool PM850D,105.03,PowerColor Red Dragon OC,5463.41,10063.15
NZXT H7 Flow RGB,796.07,Intel Core i3-3250,1006.56,ADATA SU630,1897.43,G.Skill Trident Z5 RGB 96 GB,1468.34,ASRock Z690 Pro RS,2392.25,MSI MAG A750BN PCIE5,214.61,MSI GT 710 2GD3H LP,8324.31,16099.57
Phanteks XT PRO ULTRA,652.99,Intel Core i3-13100F,997.87,Western Digital Red Pro,2464.24,Corsair Vengeance RGB 128 GB,2795.78,MSI B650 GAMING PLUS WIFI,3812.86,Corsair CX650M,265.82,Zotac GAMING Trinity,4385.4,15374.96
Lian Li O11D EVO RGB,883.15,Intel Xeon E5-2680 V4,1534.57,TEAMGROUP MS30,1681.24,G.Skill Flare X5 32 GB,3090.14,Asus ROG STRIX X670E-E GAMING WIFI,2959.49,Corsair RM850e (2023),357.15,Zotac Twin Edge OC,8805.86,19311.6
Phanteks XT PRO ULTRA,107.95,AMD Ryzen 7 3800X,242.57,Samsung 970 Evo Plus,570.62,Silicon Power XPOWER Turbine 32 GB,3614.74,Asus ROG STRIX B650-A GAMING WIFI,2453.56,EVGA 500 BQ,320.96,AMD 100-505999,2793.36,10103.76
NZXT H9 Elite,652.26,Intel Core i7-10700K,465.64,Inland Professional,847.35,Silicon Power Value Gaming 32 GB,3098.1,Asus PRIME X670-P WIFI,2236.01,ADATA XPG CORE Reactor 650,40.8,Asus ROG STRIX-GTX1070-O8G-GAMING,2755.5,10095.66
Asus ROG Strix Helios,309.68,Intel Core i7-10700,1754.54,Seagate IronWolf Pro,839.22,Crucial CT16G48C40U5 16 GB,2703.18,Asus ROG STRIX Z690-I GAMING WIFI,479.34,Raidmax XT,147.67,Zotac GAMING AMP Extreme AIRO,2851.77,9085.4
Asus TUF Gaming GT302 ARGB,217.7,AMD FX-8350,2215.86,Samsung PM893,2176.68,KingBank SharpBlade 32 GB,3513.38,Gigabyte B550M K,2447.67,Raidmax XT,395.92,Sapphire NITRO+,8100.86,19068.07
Asus TUF Gaming GT302 ARGB,756.11,Intel Core i5-12400,1231.34,Lexar NM620,765.22,G.Skill Trident Z5 RGB 48 GB,3307.57,MSI B450M-A PRO MAX II,957.43,Corsair AX1200,382.62,ASRock Challenger D,7446.68,14846.97
HYTE REVOLT 3,675.89,AMD Ryzen 5 7600X,3428.77,Crucial T500,2161.87,TEAMGROUP T-Force Delta RGB 32 GB,1971.55,Gigabyte A520M S2H,692.48,Cooler Master V SFX Gold ATX 3.0,271.07,EVGA SC2,332.93,9534.56
HYTE Y60 Snow White,312.11,Intel Core i7-7700,1748.09,Samsung PM893,1670.19,TEAMGROUP T-Create Expert 16 GB,2105.12,MSI PRO Z790-P WIFI DDR4,1452.06,EVGA 700 BR,612.18,Gigabyte EAGLE OC,6667.54,14567.29
Phanteks XT PRO ULTRA,520.08,Intel Core i7-3930K,1884.93,Samsung 990 EVO,1739.22,G.Skill Trident Z5 RGB 64 GB,70.55,MSI Z790 GAMING PRO WIFI,1313.38,be quiet! Straight Power 12,253.5,XFX Speedster MERC 308 Black,6936.31,12717.97
Silverstone ALTA F2,507.43,AMD Ryzen 9 3950X,696.65,Corsair MP600 CORE XT,1402.9,Corsair Dominator Titanium 64 GB,1924.48,Gigabyte B450M K,1199.38,Deepcool PX1200G,716.04,Zotac Twin Edge OC,4102.68,10549.56
Fractal Design Torrent,623.21,Intel Core i9-13900KF,1708.41,Corsair MP700,108.43,Silicon Power GAMING 32 GB,946.02,MSI MEG Z790 ACE,3885.47,SeaSonic FOCUS GX-1000 ATX 3.0,317.85,MSI LP OC,1117.55,8706.94
GameMax G563,287.75,Intel Core i5-760,2748.92,Transcend 250S,1619.6,G.Skill Flare X5 32 GB,1752.15,Asus ROG STRIX B660-A GAMING WIFI D4,136.48,Corsair RM850x (2021),351.05,MSI GT 710 2GD3H LP,529.8,7425.75
Phanteks Enthoo Pro,452.99,Intel Core i5-11400F,1642.36,TEAMGROUP MP34,848.12,TEAMGROUP T-Create Classic 16 GB,1246.59,ASRock A620M Pro RS,1029.02,GameMax GX Pro Rampage,642.31,MSI VENTUS 2X XS OC,2538.55,8399.94
Antec NX200M,252.77,AMD Ryzen 5 5600G,192.44,Seagate BarraCuda,2311.09,Corsair Vengeance 32 GB,365.56,Gigabyte Z390 UD,346.62,Deepcool PM850D,516.65,MSI LP OC,5488.43,9473.56
Fractal Design North,513.59,Intel Core i9-10920X,3367.36,Samsung 970 Evo,668.18,TEAMGROUP T-Force Vulcan 32 GB,1502.21,ASRock B660M Pro RS,3867.82,Corsair RM850x,131.71,EVGA Gaming iCX,7007.22,17058.09
be quiet! Silent Base 802,671.13,AMD Threadripper 3970X,271.02,Crucial BX500,2257.73,TEAMGROUP T-Create Expert 64 GB,3035.49,MSI MAG Z790 TOMAHAWK WIFI,2547.49,Corsair HX1000i (2023),318.7,MSI GAMING TRIO CLASSIC,3677.43,12778.99
BitFenix Nova Mesh M ARGB,676.89,Intel Core i5-4570T,2865.37,ADATA XPG GAMMIX S70 Blade,573.0,G.Skill Ripjaws V 16 GB,1440.91,MSI MPG Z790 EDGE TI MAX WIFI,2937.66,Asus ROG Strix,229.28,MSI GeForce RTX 3060 Ventus 2X 12G,9334.22,18057.33
Cougar MX330,407.09,Intel Core i7-13700K,1861.05,Silicon Power P34A60,1715.94,G.Skill Aegis 32 GB,1413.64,Supermicro X11SCL-IF,991.84,be quiet! Dark Power 13,428.18,PowerColor Fighter OC,9673.3,16491.04
NZXT H510i,399.15,Intel Core i7-870,3482.62,Lexar NM620,1180.42,Corsair Dominator Platinum RGB 64 GB,3807.45,Gigabyte B450 AORUS M,3127.35,be quiet! Dark Power Pro 13,364.22,XFX Speedster SWFT 319 Core,4193.04,16554.25
Lian Li LANCOOL 215,363.19,Intel Xeon E3-1245,3340.97,Seagate BarraCuda,2416.31,Corsair Vengeance LPX 64 GB,3249.15,Gigabyte B450M K,161.31,SeaSonic FOCUS PLUS 850 Gold,646.88,PowerColor Fighter,1947.91,12125.72
Corsair 6500X,702.16,Intel Core i5-9400F,1414.59,TEAMGROUP MS30,222.85,Crucial CT8G48C40U5 8 GB,654.57,MSI PRO B550M-P GEN3,2642.68,SeaSonic FOCUS Gold,317.38,ASRock Phantom Gaming OC,1630.88,7585.11
Jonsbo N1,140.25,Intel Core i3-13100,168.2,Solidigm P41 Plus,702.6,Corsair Dominator Titanium 48 GB,26.06,MSI B760 GAMING PLUS WIFI,3935.35,SeaSonic FOCUS PLUS 850 Gold,144.94,Asus STRIX GAMING,2510.63,7628.03
Deepcool CC560 V2,957.74,Intel Core i5-4440,3254.87,TEAMGROUP T-Force Vulcan Z,654.58,G.Skill Trident Z RGB 16 GB,1439.39,Asus ROG STRIX B650-A GAMING WIFI,994.55,Apevia Premier,419.91,Zotac Twin Edge OC,5433.28,13154.32
Thermaltake Core V21,767.13,Intel Core i9-9900KF,636.68,Western Digital Black SN750,484.88,TEAMGROUP Vulcan Z 16 GB,1051.61,ASRock X670E PG Lightning,2769.14,Super Flower Leadex Platinum SE,628.75,Zotac GAMING AMP Extreme AIRO,6827.93,13166.12
GameMax M60,931.34,AMD Ryzen 5 2600X,2368.71,Samsung 990 Pro,1828.63,G.Skill Aegis 16 GB,2139.03,ASRock X670E PG Lightning,1943.15,SeaSonic FOCUS Plus Gold,433.01,MSI VENTUS 2X XS OC,3102.83,12746.7
NZXT H5 Flow RGB,43.33,AMD Ryzen 7 7700,3305.18,Seagate IronWolf Pro,428.83,G.Skill Trident Z5 RGB 32 GB,983.26,Gigabyte B450M K,2998.17,EVGA SuperNOVA 750 GT,675.32,PowerColor Hellhound OC,393.19,8827.28
Zalman P30,381.24,Intel Core i5-10400,2059.87,Toshiba MK3276GSX,1598.14,Patriot Viper Xtreme 5 32 GB,434.03,MSI PRO B650M-A WIFI,3707.01,EVGA SuperNOVA 650 GA,297.4,ASRock Challenger D OC,8684.11,17161.8
be quiet! Silent Base 802,561.31,Intel Core i9-14900KS,4053.31,ADATA SU630,895.22,Crucial Pro 64 GB,1443.03,MSI MAG B650 TOMAHAWK WIFI,1095.22,Gigabyte P450B,328.65,ASRock Challenger OC,3842.47,12219.21
HYTE Y70 Touch,546.83,Intel Core i3-530,2515.69,Toshiba MG10 512e,1903.53,TEAMGROUP T-Create Expert 32 GB,2543.24,Gigabyte B650 AORUS ELITE AX ICE,3655.51,CoolMax I-500,448.56,PNY VERTO,3784.78,15398.14
Corsair 2000D AIRFLOW,463.16,Intel Core i5-11500,3145.22,Lexar NM620,24.98,TEAMGROUP T-Force Delta RGB 16 GB,3663.93,Asus ROG STRIX B550-F GAMING WIFI II,1332.22,SeaSonic FOCUS GX-850 ATX 3.0,534.79,MSI SUPRIM X,3127.71,12292.01
Zalman P30,195.79,AMD Ryzen 9 3950X,2159.18,ADATA SU630,1991.12,Timetec PINNACLE Konduit 32 GB,3113.56,ASRock B650M-H/M.2+,2301.01,EVGA 500 BQ,401.65,PNY VERTO,5633.06,15795.37
Asus A21,242.81,Intel Core i7-11700F,694.34,Western Digital Red Plus,583.16,TEAMGROUP T-Force Xtreem ARGB 32 GB,3510.15,Gigabyte Z790 EAGLE AX,2549.8,SeaSonic FOCUS Plus 750 Gold,664.56,Gigabyte AERO OC V2,7974.28,16219.1
GameMax Edge,938.91,Intel Core i5-7500,1979.68,TEAMGROUP T-Force Vulcan Z,1559.81,G.Skill Aegis 16 GB,582.87,Gigabyte TRX40 AORUS PRO WIFI,1641.71,Thermaltake Toughpower SFX,24.17,Gigabyte GAMING OC,3088.11,9815.26
Deepcool CH370,845.36,Intel Core i3-14100F,3175.48,ADATA XPG GAMMIX S70 Blade,1799.23,G.Skill Trident Z5 Neo RGB 64 GB,802.36,ASRock Z690 Taichi,946.54,Corsair RM850x,231.86,MSI VENTUS 3X E OC,7379.16,15179.99
MagniumGear NEO QUBE 2,94.22,Intel Xeon E5-2690 V4,890.47,Sabrent Rocket 4 Plus,1967.82,Crucial Pro 64 GB,3603.46,Gigabyte B650M D3HP AX,2312.28,EVGA SuperNOVA 750 P5,590.75,Zotac GAMING AMP Extreme AIRO,9139.52,18598.52
Asus TUF Gaming GT502,525.25,AMD Ryzen 5 8500G,111.58,Kingston NV2,2182.89,Corsair Vengeance RGB 64 GB,3376.55,Asus PRIME B450M-K II,1278.5,EVGA 500 W1,369.34,Gigabyte EAGLE OC,7176.62,15020.73
GameMax Vista A,152.9,Intel Core i5-9400F,1624.58,Western Digital Black SN750,307.09,Corsair Vengeance LPX 4 GB,1245.23,ASRock B650I Lightning Wifi,925.84,EVGA 500 BQ,58.13,Sparkle ORC OC,7781.4,12095.17
Deepcool CC360 ARGB,272.67,Intel Core i5-9400F,2434.73,Seagate FireCuda 530,959.46,Crucial Pro 32 GB,2928.22,Asus PRIME B450-PLUS,1006.58,Cooler Master MWE GOLD 750 V2 FULL MODULAR,717.59,Asus ROG Matrix Platinum,2459.0,10778.25
Lian Li LANCOOL 205M MESH,967.67,Intel Core i3-530,1645.22,Patriot P210,1176.21,Corsair Vengeance RGB RS 32 GB,2741.21,Gigabyte A620M DS3H,132.19,SeaSonic FOCUS Plus Platinum,69.25,Asus ROG Matrix Platinum,7778.47,14510.22
Fractal Design Meshify C,151.88,Intel Core i3-14100F,2173.02,Sabrent Rocket 5,1501.58,Silicon Power XPOWER Turbine 32 GB,994.42,Gigabyte X670E AORUS PRO X,481.02,Silverstone TX500-G,692.45,EVGA Gaming iCX,4412.56,10406.93
Thermaltake S200 TG ARGB,257.65,Intel Core i5-13600KF,2483.72,Samsung 870 Evo,880.0,KingBank SharpBlade 32 GB,716.84,MSI PRO Z790-A MAX WIFI,1946.43,Montech TITAN GOLD 1000W,494.82,Gigabyte GAMING OC,985.42,7764.88
Fractal Design North XL,981.43,AMD Ryzen 3 4100,2007.51,Solidigm P41 Plus,881.33,Lexar THOR OC 32 GB,763.02,Asus ROG STRIX B660-A GAMING WIFI D4,565.57,Thermaltake Toughpower GX2,555.3,MSI Radeon RX 6900 XT GAMING X TRIO 16G,8410.31,14164.47
Fractal Design Pop Air RGB,676.88,Intel Core i7-13700F,3379.03,MSI SPATIUM M482,2473.41,Corsair Dominator Platinum RGB 32 GB,482.55,MSI MEG Z790 ACE MAX,658.67,Gigabyte UD1000GM PG5 (rev. 2.0),572.58,Gigabyte Vision OC,6922.5,15165.62
Phanteks Enthoo Elite,596.45,Intel Core i7-8700K,4107.8,ADATA XPG SX8200 Pro,1066.4,G.Skill Trident Z RGB 32 GB,3528.0,ASRock B550M-HDV,297.57,Apevia Premier,88.12,Asus ROG STRIX-GTX1070-O8G-GAMING,6340.06,16024.4
Fractal Design Torrent,715.66,Intel Core i9-9900K,2437.63,Inland Performance Plus,1450.9,Corsair Vengeance RGB 192 GB,1111.86,Asus PRIME X670-P WIFI,592.77,MSI A1000G PCIE5,357.35,Zotac GAMING Trinity,4543.49,11209.66
Lian Li O11 Vision,889.04,Intel Core i5-8500,4029.13,Mushkin Source HC,1666.28,Corsair Vengeance RGB Pro SL 32 GB,3280.74,Asus Prime B450M-A II,2617.95,Cooler Master V750 SFX GOLD,206.72,PNY VERTO OC,8952.77,21642.63
NZXT H7 Flow,370.41,Intel Core i9-14900K,150.56,Patriot P310,1500.16,OLOy OWL RGB 16 GB,819.18,Asus ROG STRIX B650E-E GAMING WIFI,2945.84,EVGA SuperNOVA 850 GM,610.22,PowerColor Fighter,3540.59,9936.96
Fractal Design Torrent,217.41,Intel Core i9-7920X,4015.14,Patriot Burst Elite,2050.49,ADATA XPG Lancer Blade 32 GB,1738.43,ASRock A520M-HDV,3136.38,Corsair HX1000i (2023),370.5,PNY RTX A-Series,7477.28,19005.63
Montech AIR 903 BASE,567.98,Intel Core i5-11600K,993.2,Lexar NS100,1182.25,Kingston Server Premier 32 GB,3852.77,ASRock B550M Pro4,3226.11,Deepcool PM850D,136.57,Zotac GAMING Twin Edge OC,910.87,10869.75
HYTE Y70 Touch,562.41,Intel Celeron G3900,1364.81,TEAMGROUP MP33,1160.9,Patriot Viper Xtreme 5 32 GB,1054.6,Asus PRIME X670-P WIFI,2925.39,EVGA SuperNOVA 750 GT,307.63,MSI VENTUS 2X OC,8056.98,15432.72
Fractal Design Meshify C,283.66,Intel Core i5-8500,3947.73,Leven JPS800,304.82,G.Skill Trident Z5 RGB 48 GB,3699.72,Gigabyte B550 GAMING X V2,3606.73,Corsair RM750e (2023),151.3,Gigabyte WINDFORCE,4112.8,16106.76
be quiet! Pure Base 600,754.15,AMD Ryzen 9 7950X,444.36,Crucial MX500,1625.22,Silicon Power XPOWER Zenith Gaming 32 GB,3575.95,Gigabyte B450M DS3H WIFI,3268.72,be quiet! System Power 10,162.03,PowerColor Fighter,4824.69,14655.12
Fractal Design Torrent RGB,331.11,Intel Core i3-8100,2812.79,Crucial T705 W/Heatsink Limited Edition,2374.44,Corsair Vengeance LPX 16 GB,3101.42,ASRock H370M-HDV,3837.42,MSI A1000G PCIE5,292.51,MSI LP OC,4252.2,17001.89
ZZEW A1 Plus,516.25,Intel Xeon E5-2680 V4,3518.51,Klevv CRAS C910,588.08,Kingston FURY Beast 8 GB,481.49,Asus PRIME B650M-A WIFI II,3244.39,EVGA 600 GD,442.0,MSI GT 710 2GD3H LP,5099.76,13890.48
DIYPC MA08,139.59,AMD Threadripper 1900X,2049.51,Western Digital Red Plus,2017.15,Kingston FURY Beast RGB 32 GB,2307.82,Asus TUF GAMING Z790-PRO WIFI,196.81,MSI MAG A850GL PCIE5,379.77,MSI GAMING X SLIM,9776.34,16866.99
MSI MAG FORGE 100M,615.9,Intel Celeron G3900,1760.08,Mushkin Helix-L,1706.93,Patriot Viper Xtreme 5 32 GB,1520.42,Gigabyte B650I AORUS ULTRA,3473.13,EVGA 600 GD,316.41,Gigabyte GAMING OC,313.09,9705.96
MSI MPG VELOX 100R,155.71,AMD Ryzen 5 3600,3042.23,ADATA SU630,1740.59,KingBank SharpBlade RGB 32 GB,784.66,MSI PRO Z790-P WIFI,1862.17,EVGA SuperNOVA 850G XC,641.74,MSI GAMING X TRIO,5729.95,13957.05
Fractal Design Pop Mini Silent,213.84,Intel Core i5-4570T,2884.2,Kingston NV1,2254.3,Corsair Dominator Titanium 96 GB,803.55,ASRock B760M PG SONIC WiFi,2016.92,be quiet! System Power 10,268.17,Gigabyte EAGLE,6941.7,15382.68
Thermaltake S100 Snow Edition,928.5,Intel Core i3-530,3365.09,Sabrent Rocket 4 Plus,345.84,Timetec PINNACLE Konduit 32 GB,205.94,Asus ROG MAXIMUS Z790 DARK HERO,2672.84,Deepcool PM850D,576.29,MSI VENTUS 2X XS OC,4244.32,12338.82
Asus A21,36.09,Intel Core i7-4770K,2885.29,SK Hynix Platinum P41,2070.96,G.Skill Trident Z5 Neo 32 GB,1053.92,Asus PRIME B550M-A/CSM,3264.26,Corsair SF1000L,525.69,MSI GAMING X TRIO,8021.15,17857.36
Antec NX100,834.18,AMD Ryzen 9 7900X3D,3953.62,Kingston KC3000,1480.04,Crucial Classic 16 GB,2577.81,ASRock X670E Taichi Carrara,707.97,EVGA SuperNOVA 1200 P3,408.05,XFX Speedster MERC 310 Black Edition,3471.38,13433.05
Corsair iCUE 5000T RGB,287.14,Intel Core i5-7400,2053.9,Kingston KC3000,2212.25,Corsair Vengeance RGB 192 GB,3456.54,MSI MAG B760 TOMAHAWK WIFI,354.77,Silverstone TX500-G,219.11,PowerColor Hellhound,3907.98,12491.69
NZXT H9 Elite,444.26,AMD Ryzen 3 4100,2678.91,Samsung 980 Pro,2320.02,Crucial Classic 16 GB,2994.54,ASRock A520M-ITX/ac,709.74,Corsair CX (2023),85.38,AMD 100-505999,2628.28,11861.13
HYTE REVOLT 3,316.7,AMD Ryzen 5 3600X,2333.9,Corsair MP700 PRO,1162.48,TEAMGROUP Elite 16 GB,3778.86,ASRock X570 Phantom Gaming-ITX/TB3,2143.51,Cooler Master MWE Gold 850 - V2,242.03,ASRock Challenger D,569.47,10546.95
Corsair 2000D AIRFLOW,846.84,AMD Ryzen 5 2600X,2282.39,Kingston KC3000,844.48,Corsair Vengeance LPX 32 GB,3521.42,Asus PRIME Z790-A WIFI,1375.02,Corsair CX550 (2017),227.26,Asus ROG Matrix Platinum,9916.46,19013.87
Phanteks Eclipse G360A,923.53,Intel Core i5-8600,1819.95,Silicon Power UD85,1580.76,Corsair Vengeance RGB Pro SL 32 GB,1763.6,ASRock B650E PG RIPTIDE WIFI,1401.59,Corsair CX550 (2017),245.29,XFX Speedster QICK 319 Core,8666.37,16401.09
Fractal Design Focus G,820.93,Intel Core i9-13900KF,1784.92,Crucial T700,1550.77,Corsair Dominator Titanium 64 GB,1114.99,Supermicro X11SCL-IF,913.71,Corsair RM750x (2018),353.95,MSI GAMING X SLIM,7445.52,13984.79
MSI MPG VELOX 100R,937.08,AMD Ryzen 3 3200G,2782.87,Seagate Exos X18,2027.63,Corsair Vengeance RGB RT 32 GB,2772.12,MSI MAG Z790 TOMAHAWK MAX WIFI,3429.0,Deepcool DQ750-M-V2L,215.96,MSI Radeon RX 6900 XT GAMING X TRIO 16G,8289.13,20453.79
Corsair 275R Airflow,389.45,Intel Core i5-7500,3913.51,Samsung 990 EVO,1583.89,G.Skill Ripjaws S5 32 GB,3879.47,Asus ROG MAXIMUS Z790 HERO,898.97,EVGA SuperNOVA 1200 P3,70.65,Zotac GAMING AMP Extreme AIRO,7944.53,18680.47
NZXT H5 Elite,320.69,Intel Core i3-10105F,1991.11,Corsair MP600 CORE XT,94.45,G.Skill Trident Z5 Neo 32 GB,3257.97,Asus ROG STRIX Z790-A GAMING WIFI II,2381.14,Asus ROG THOR 1600T Gaming,576.04,Gigabyte Vision OC,2107.76,10729.16
Cooler Master MasterBox NR200,326.08,Intel Core i9-12900F,1336.82,Seagate BarraCuda,1759.78,Patriot Viper Elite 5 RGB 32 GB,1702.97,MSI MEG Z690 UNIFY,3382.0,EVGA 600 GD,685.72,XFX Speedster SWFT 319 Core,6703.27,15896.64
Phanteks NV5,55.28,Intel Core i3-10300,199.48,Western Digital WD_BLACK,496.67,Crucial Pro 32 GB,1218.32,Asus PRIME B650M-A WIFI II,771.13,Corsair SF1000L,447.38,PNY VCNRTX6000ADA-PB,1442.05,4630.31
SHARKOON VS8,627.52,Intel Core i3-12100,2692.09,TEAMGROUP MP44L,2483.27,KingBank SharpBlade RGB 32 GB,1729.31,ASRock B760M PG Riptide,74.37,NZXT C1200,708.73,MSI VENTUS 2X BLACK OC,7292.43,15607.72
HYTE Y70,242.05,Intel Core i5-760,737.38,Western Digital Blue,1342.73,G.Skill Flare X5 32 GB,3671.34,ASRock Z790 PRO RS WIFI,1957.1,Gigabyte UD750GM,58.52,MSI VENTUS 2X BLACK OC,2167.22,10176.34
Zalman P30,739.93,Intel Xeon E3-1220 V3,1055.47,Patriot P210,2117.04,Corsair Vengeance 96 GB,3874.68,Asus ROG MAXIMUS Z790 HERO,2987.08,Apevia Galaxy,74.66,Gigabyte WINDFORCE OC,7524.6,18373.46
DIYPC F2,713.03,AMD Threadripper 3990X,3753.79,SK Hynix Platinum P41,1510.79,G.Skill Trident Z Royal 32 GB,3495.66,Gigabyte B760M DS3H DDR4,1398.88,SeaSonic FOCUS GX,640.53,MSI D3H LP,7023.9,18536.58
Phanteks NV5,924.15,Intel Core i5-4440,244.84,Samsung 990 Pro w/Heatsink,1305.92,Corsair Vengeance LPX 128 GB,2559.21,Gigabyte B650 AORUS ELITE AX,2939.86,EVGA SuperNOVA 850 GT,288.7,ASRock Challenger Pro OC,4421.69,12684.37
BitFenix Nova Mesh SE,955.03,Intel Core i5-9600KF,1601.46,TEAMGROUP MP44L,2482.98,Corsair Dominator Titanium 96 GB,453.58,Gigabyte B650M D3HP,1169.28,Thermaltake Toughpower GF A3 - TT Premium Edition,494.6,Gigabyte GAMING OC,4534.09,11691.02
MSI MAG FORGE 100M,137.08,AMD FX-8350,3244.09,Western Digital Black SN850X,228.83,G.Skill Trident Z Royal 128 GB,1694.32,Asus TUF GAMING X670E-PLUS WIFI,1360.41,MSI MAG A650BN,72.89,Sparkle ORC OC,9916.25,16653.87
Phanteks Enthoo Elite,557.3,Intel Pentium E5700,571.57,Crucial T500,1991.25,Corsair Vengeance LPX 4 GB,3267.71,Asus ROG STRIX Z690-I GAMING WIFI,1497.75,SeaSonic FOCUS PX,253.48,Asus TUF GAMING,1562.04,9701.1
Fractal Design Core 1000 USB 3.0,371.93,Intel Xeon E5-2650L,3687.75,TEAMGROUP MP33,1801.71,Corsair Vengeance LPX 128 GB,1779.28,ASRock B450 Pro4 R2.0,3804.86,MSI MAG A750GL PCIE5,158.34,Acer Predator BiFrost OC,7053.06,18656.93
Montech KING 95,478.64,Intel Core i7-7700,832.4,TEAMGROUP QX,1732.81,Kingston FURY Beast RGB 32 GB,853.69,Gigabyte B650 GAMING X AX V2,655.59,Apevia Galaxy,464.76,MSI D3H LP,1022.62,6040.51
Deepcool MACUBE 110,284.43,Intel Core i9-9900KF,3829.11,Samsung 990 Pro,1044.84,Corsair Vengeance RGB RS 32 GB,1952.82,Gigabyte TRX40 AORUS XTREME,3570.04,Deepcool PX1000G,614.28,PNY XLR8 Gaming VERTO EPIC-X RGB OC,4686.89,15982.41
be quiet! Shadow Base 800 FX,333.66,Intel Core i7-8700T,3967.74,Mushkin Source HC,1791.04,Silicon Power XPOWER Zenith Gaming 32 GB,162.34,ASRock A620M Pro RS,458.44,be quiet! Straight Power 12,418.81,MSI GAMING TRIO CLASSIC,8933.59,16065.62
